index;state;date;country;recovered
6001;Guizhou;2020-02-14;China;28.0
6002;Hainan;2020-02-14;China;43.0
6003;Hebei;2020-02-14;China;87.0
6004;Heilongjiang;2020-02-14;China;47.0
6005;Henan;2020-02-14;China;357.0
6006;French Guiana;2020-02-14;France;0.0
6007;Turks and Caicos Islands;2020-02-14;United Kingdom;0.0
6008;no;2020-02-14;Fiji;0.0
6009;Western Australia;2020-02-14;Australia;0.0
6010;no;2020-02-14;Cameroon;0.0
6011;no;2020-02-14;Canada;1.0
6012;no;2020-02-14;Central African Republic;0.0
6013;no;2020-02-14;Chad;0.0
6014;no;2020-02-14;Chile;0.0
6015;no;2020-02-14;Colombia;0.0
6016;no;2020-02-14;Comoros;0.0
6017;no;2020-02-14;Congo (Brazzaville);0.0
6018;no;2020-02-14;Congo (Kinshasa);0.0
6019;no;2020-02-14;Costa Rica;0.0
6020;no;2020-02-14;Cote d'Ivoire;0.0
6021;Victoria;2020-02-14;Australia;4.0
6022;no;2020-02-14;Cuba;0.0
6023;no;2020-02-14;Cambodia;1.0
6024;no;2020-02-14;Cyprus;0.0
6025;no;2020-02-14;Denmark;0.0
6026;no;2020-02-14;Diamond Princess;0.0
6027;no;2020-02-14;Djibouti;0.0
6028;no;2020-02-14;Dominica;0.0
6029;no;2020-02-14;Dominican Republic;0.0
6030;no;2020-02-14;Ecuador;0.0
6031;no;2020-02-14;Egypt;0.0
6032;no;2020-02-14;El Salvador;0.0
6033;no;2020-02-14;Equatorial Guinea;0.0
6034;no;2020-02-14;Eritrea;0.0
6035;no;2020-02-14;Estonia;0.0
6036;no;2020-02-14;Eswatini;0.0
6037;no;2020-02-14;Ethiopia;0.0
6038;no;2020-02-14;Czechia;0.0
6039;no;2020-02-14;Cabo Verde;0.0
6040;no;2020-02-14;Croatia;0.0
6041;no;2020-02-14;Burma;0.0
6042;no;2020-02-14;Burundi;0.0
6043;Yunnan;2020-02-14;China;36.0
6044;Zhejiang;2020-02-14;China;403.0
6045;no;2020-02-14;Afghanistan;0.0
6046;no;2020-02-14;Albania;0.0
6047;no;2020-02-14;Algeria;0.0
6048;no;2020-02-14;Andorra;0.0
6049;no;2020-02-14;Angola;0.0
6050;no;2020-02-14;Antigua and Barbuda;0.0
6051;no;2020-02-14;Argentina;0.0
6052;no;2020-02-14;Armenia;0.0
6053;no;2020-02-14;Austria;0.0
6054;no;2020-02-14;Azerbaijan;0.0
6055;no;2020-02-14;Bahamas;0.0
6056;Xinjiang;2020-02-14;China;6.0
6057;no;2020-02-14;Bangladesh;0.0
6058;no;2020-02-14;Bahrain;0.0
6059;no;2020-02-14;Bulgaria;0.0
6060;no;2020-02-14;Brunei;0.0
6061;no;2020-02-14;Brazil;0.0
6062;no;2020-02-14;Botswana;0.0
6063;no;2020-02-14;Bosnia and Herzegovina;0.0
6064;no;2020-02-14;Burkina Faso;0.0
6065;no;2020-02-14;Bhutan;0.0
6066;no;2020-02-14;Benin;0.0
6067;no;2020-02-14;Belize;0.0
6068;no;2020-02-14;Belgium;0.0
6069;no;2020-02-14;Belarus;0.0
6070;no;2020-02-14;Bolivia;0.0
