doubling every 4 days;doubling every 10 days;doubling every 15 days;doubling every 20 days;India;US;Spain;Germany;United Kingdom;Korea, South;Japan;date
184915077265322.97;8068428.027297248;186720.76565672288;28404.97848493684;3167323.0;5313252.0;329784.0;219540.0;315581.0;14366.0;39116.0;163
219902325555200.0;8647527.044041231;195551.56048085334;29406.67788792408;3224547.0;5361165.0;337334.0;220859.0;316729.0;14389.0;40099.0;164
261509410155888.53;9268190.002368316;204800.0;30443.70214406966;3310234.0;5403213.0;342813.0;222281.0;318190.0;14423.0;41347.0;165
310988851197547.5;9933400.090282554;214485.83635366432;31517.296981629876;3387500.0;5438325.0;342813.0;223791.0;319232.0;14456.0;42686.0;166
369830154530645.94;10646354.609520445;224629.75584145932;32628.752059373102;3463972.0;5483388.0;342813.0;224488.0;320343.0;14499.0;44167.0;167
439804651110400.0;11410480.343234964;235253.42310339265;33779.4025157861;3542733.0;5529824.0;359082.0;225007.0;321064.0;14519.0;45764.0;168
523018820311777.06;12229450.02667123;246379.52738961764;34970.63057291251;3621245.0;5573847.0;364196.0;226700.0;322177.0;14562.0;47342.0;169
621977702395095.0;13107200.0;258031.8310184701;36203.867196751235;3691166.0;5622470.0;370867.0;228120.0;323008.0;14598.0;48782.0;170
739660309061291.9;14047949.128155716;270235.2201262888;37480.59381620803;3769523.0;5667070.0;377906.0;229706.0;324203.0;14626.0;49617.0;171
879609302220800.0;15056219.07861713;283015.75781740056;38802.34410266618;3853406.0;5701645.0;386054.0;231292.0;325263.0;14660.0;50302.0;172
1046037640623554.1;16136856.054594496;296400.7398277894;40170.705812313645;3936747.0;5739536.0;386054.0;233029.0;326595.0;14714.0;51288.0;173
1243955404790190.0;17295054.088082463;310418.75282132946;41587.32269343924;4023179.0;5777710.0;386054.0;233861.0;327643.0;14770.0;52471.0;174
1479320618122583.8;18536380.004736632;325099.7354430871;43053.89646099018;4113811.0;5821819.0;405436.0;234494.0;328620.0;14873.0;53818.0;175
1759218604441600.0;19866800.180565108;340475.0422600857;44572.18884076158;4204613.0;5867785.0;412553.0;236122.0;329821.0;15039.0;55051.0;176
2092075281247108.2;21292709.21904089;356577.5107260926;46144.023685674496;4280422.0;5913941.0;419849.0;237583.0;330967.0;15318.0;56074.0;177
2487910809580380.0;22820960.686469927;373441.53131344577;47771.28916668455;4370128.0;5961094.0;429507.0;239010.0;332509.0;15515.0;56717.0;178
2958641236245167.5;24458900.05334246;391103.1209617067;49455.94004095207;4465863.0;5996431.0;439286.0;240571.0;333806.0;15761.0;57636.0;179
3518437208883200.0;26214400.0;409600.0;51200.0;4562414.0;6030587.0;439286.0;242126.0;334916.0;16058.0;58728.0;180
4184150562494216.5;28095898.25631143;428971.67270732863;53005.56410067855;4659984.0;6073840.0;439286.0;242835.0;336668.0;16346.0;59900.0;181
4975821619160760.0;30112438.15723426;449259.51168291864;54874.8012818582;4754356.0;6113510.0;462858.0;243305.0;338083.0;16670.0;60949.0;182
5917282472490335.0;32273712.109188993;470506.8462067853;56809.95696987368;4846427.0;6150016.0;470973.0;244802.0;339415.0;17002.0;61916.0;183
